contactados;canales;asesor
36;digital;pregrado
94;digital;posgrado
62;digital;posgrado
82;digital;pregrado
83;digital;pregrado
49;digital;posgrado
63;digital;posgrado
66;digital;posgrado
75;digital;pregrado
65;digital;pregrado
28;digital;pregrado
52;digital;pregrado
53;digital;pregrado
47;digital;posgrado
22;digital;posgrado
25;digital;posgrado
31;digital;posgrado
35;digital;pregrado
48;digital;posgrado
22;digital;pregrado
74;digital;pregrado
85;digital;posgrado
58;digital;posgrado
96;digital;posgrado
62;digital;posgrado
44;digital;posgrado
93;digital;pregrado
64;digital;pregrado
25;digital;posgrado
47;digital;pregrado
75;digital;pregrado
46;digital;pregrado
46;digital;posgrado
46;digital;posgrado
95;digital;pregrado
77;digital;pregrado
38;digital;pregrado
39;digital;pregrado
54;digital;posgrado
51;digital;pregrado
95;digital;pregrado
46;digital;posgrado
55;digital;pregrado
37;digital;pregrado
68;digital;pregrado
95;digital;posgrado
31;digital;pregrado
33;digital;posgrado
92;digital;pregrado
36;digital;pregrado
62;digital;pregrado
27;digital;posgrado
58;digital;posgrado
22;digital;posgrado
35;digital;pregrado
20;digital;pregrado
84;digital;posgrado
84;digital;posgrado
24;digital;pregrado
60;digital;posgrado
71;digital;posgrado
70;digital;posgrado
29;digital;pregrado
80;digital;posgrado
82;digital;posgrado
29;digital;posgrado
49;digital;posgrado
30;digital;pregrado
32;digital;posgrado
84;digital;posgrado
23;digital;pregrado
98;digital;pregrado
90;digital;pregrado
56;digital;pregrado
44;digital;pregrado
63;digital;pregrado
36;digital;pregrado
39;digital;posgrado
96;digital;pregrado
25;digital;pregrado
81;digital;posgrado
43;digital;pregrado
85;digital;pregrado
22;digital;pregrado
64;digital;pregrado
81;digital;posgrado
91;digital;posgrado
26;digital;pregrado
30;digital;pregrado
94;digital;pregrado
95;digital;pregrado
28;digital;pregrado
97;digital;pregrado
97;digital;pregrado
97;digital;posgrado
97;digital;posgrado
98;digital;posgrado
98;digital;posgrado
98;digital;pregrado
98;digital;pregrado
98;digital;posgrado
98;digital;posgrado
99;digital;pregrado
99;digital;posgrado
99;digital;pregrado
100;digital;pregrado
100;digital;pregrado
100;digital;pregrado
100;digital;posgrado
100;digital;posgrado
101;digital;posgrado
102;digital;posgrado
102;digital;posgrado
102;digital;pregrado
103;digital;posgrado
104;digital;pregrado
105;digital;pregrado
106;digital;pregrado
107;digital;pregrado
107;digital;pregrado
108;digital;pregrado
108;digital;pregrado
108;digital;posgrado
108;digital;pregrado
109;digital;posgrado
109;digital;posgrado
109;digital;pregrado
109;digital;pregrado
110;digital;pregrado
110;digital;pregrado
111;digital;pregrado
111;digital;pregrado
111;digital;pregrado
111;digital;pregrado
112;digital;posgrado
112;digital;pregrado
113;digital;posgrado
113;digital;pregrado
114;digital;posgrado
114;digital;posgrado
114;digital;pregrado
